year,mm-dd,location,parameter,unit,datatype,value
2017,20-Apr,BON,spill,kcfs,Spill,151.1
2017,21-Apr,BON,spill,kcfs,Spill,173.9
2017,22-Apr,BON,spill,kcfs,Spill,171.7
2017,23-Apr,BON,spill,kcfs,Spill,164.1
2017,24-Apr,BON,spill,kcfs,Spill,156.9
2017,25-Apr,BON,spill,kcfs,Spill,161.4
2017,26-Apr,BON,spill,kcfs,Spill,165.6
2017,27-Apr,BON,spill,kcfs,Spill,166
2017,28-Apr,BON,spill,kcfs,Spill,168.9
2017,29-Apr,BON,spill,kcfs,Spill,169.7
2017,30-Apr,BON,spill,kcfs,Spill,153.1
2017,1-May,BON,spill,kcfs,Spill,141.4
2017,2-May,BON,spill,kcfs,Spill,148.2
2017,3-May,BON,spill,kcfs,Spill,146.6
2017,4-May,BON,spill,kcfs,Spill,134
2017,5-May,BON,spill,kcfs,Spill,139
2017,6-May,BON,spill,kcfs,Spill,180.5
2017,7-May,BON,spill,kcfs,Spill,236
2017,8-May,BON,spill,kcfs,Spill,253.6
2017,9-May,BON,spill,kcfs,Spill,259.1
2017,10-May,BON,spill,kcfs,Spill,251.4
2017,11-May,BON,spill,kcfs,Spill,245.2
2017,12-May,BON,spill,kcfs,Spill,253
2017,13-May,BON,spill,kcfs,Spill,246.3
2017,14-May,BON,spill,kcfs,Spill,239.1
2017,15-May,BON,spill,kcfs,Spill,235
2017,16-May,BON,spill,kcfs,Spill,234.4
2017,17-May,BON,spill,kcfs,Spill,229.4
2017,18-May,BON,spill,kcfs,Spill,231.5
2017,19-May,BON,spill,kcfs,Spill,223.4
2017,20-May,BON,spill,kcfs,Spill,209.6
2017,21-May,BON,spill,kcfs,Spill,205.3
2017,22-May,BON,spill,kcfs,Spill,200.3
2017,23-May,BON,spill,kcfs,Spill,201.9
2017,24-May,BON,spill,kcfs,Spill,213.1
2017,25-May,BON,spill,kcfs,Spill,242
2017,26-May,BON,spill,kcfs,Spill,247.1
2017,27-May,BON,spill,kcfs,Spill,239.9
2017,28-May,BON,spill,kcfs,Spill,230.5
2017,29-May,BON,spill,kcfs,Spill,224.1
2017,30-May,BON,spill,kcfs,Spill,238.4
2017,31-May,BON,spill,kcfs,Spill,265.4
2017,1-Jun,BON,spill,kcfs,Spill,269.7
2017,20-Apr,JDA,spill,kcfs,Spill,130.7
2017,21-Apr,JDA,spill,kcfs,Spill,147.7
2017,22-Apr,JDA,spill,kcfs,Spill,119.8
2017,23-Apr,JDA,spill,kcfs,Spill,106.8
2017,24-Apr,JDA,spill,kcfs,Spill,106.6
2017,25-Apr,JDA,spill,kcfs,Spill,113.5
2017,26-Apr,JDA,spill,kcfs,Spill,130.9
2017,27-Apr,JDA,spill,kcfs,Spill,120.2
2017,28-Apr,JDA,spill,kcfs,Spill,117.5
2017,29-Apr,JDA,spill,kcfs,Spill,123.1
2017,30-Apr,JDA,spill,kcfs,Spill,110.6
2017,1-May,JDA,spill,kcfs,Spill,110.8
2017,2-May,JDA,spill,kcfs,Spill,116
2017,3-May,JDA,spill,kcfs,Spill,116.8
2017,4-May,JDA,spill,kcfs,Spill,115.2
2017,5-May,JDA,spill,kcfs,Spill,120.1
2017,6-May,JDA,spill,kcfs,Spill,138.9
2017,7-May,JDA,spill,kcfs,Spill,178.9
2017,8-May,JDA,spill,kcfs,Spill,199
2017,9-May,JDA,spill,kcfs,Spill,194.9
2017,10-May,JDA,spill,kcfs,Spill,200
2017,11-May,JDA,spill,kcfs,Spill,189.2
2017,12-May,JDA,spill,kcfs,Spill,176.1
2017,13-May,JDA,spill,kcfs,Spill,180.4
2017,14-May,JDA,spill,kcfs,Spill,169.2
2017,15-May,JDA,spill,kcfs,Spill,169
2017,16-May,JDA,spill,kcfs,Spill,159.3
2017,17-May,JDA,spill,kcfs,Spill,164
2017,18-May,JDA,spill,kcfs,Spill,190.1
2017,19-May,JDA,spill,kcfs,Spill,168.3
2017,20-May,JDA,spill,kcfs,Spill,150.2
2017,21-May,JDA,spill,kcfs,Spill,145.8
2017,22-May,JDA,spill,kcfs,Spill,162.7
2017,23-May,JDA,spill,kcfs,Spill,166
2017,24-May,JDA,spill,kcfs,Spill,167.8
2017,25-May,JDA,spill,kcfs,Spill,196.4
2017,26-May,JDA,spill,kcfs,Spill,178.8
2017,27-May,JDA,spill,kcfs,Spill,163.3
2017,28-May,JDA,spill,kcfs,Spill,158
2017,29-May,JDA,spill,kcfs,Spill,160.8
2017,30-May,JDA,spill,kcfs,Spill,169.2
2017,31-May,JDA,spill,kcfs,Spill,184.1
2017,1-Jun,JDA,spill,kcfs,Spill,189.9
2017,20-Apr,TDA,spill,kcfs,Spill,130.6
2017,21-Apr,TDA,spill,kcfs,Spill,200.6
2017,22-Apr,TDA,spill,kcfs,Spill,204.6
2017,23-Apr,TDA,spill,kcfs,Spill,198.9
2017,24-Apr,TDA,spill,kcfs,Spill,188.2
2017,25-Apr,TDA,spill,kcfs,Spill,180.3
2017,26-Apr,TDA,spill,kcfs,Spill,176.3
2017,27-Apr,TDA,spill,kcfs,Spill,172.4
2017,28-Apr,TDA,spill,kcfs,Spill,174.6
2017,29-Apr,TDA,spill,kcfs,Spill,190.8
2017,30-Apr,TDA,spill,kcfs,Spill,149.3
2017,1-May,TDA,spill,kcfs,Spill,142.9
2017,2-May,TDA,spill,kcfs,Spill,164.1
2017,3-May,TDA,spill,kcfs,Spill,139.3
2017,4-May,TDA,spill,kcfs,Spill,129.1
2017,5-May,TDA,spill,kcfs,Spill,141.6
2017,6-May,TDA,spill,kcfs,Spill,192.4
2017,7-May,TDA,spill,kcfs,Spill,292
2017,8-May,TDA,spill,kcfs,Spill,308.6
2017,9-May,TDA,spill,kcfs,Spill,308.9
2017,10-May,TDA,spill,kcfs,Spill,305.1
2017,11-May,TDA,spill,kcfs,Spill,252.5
2017,12-May,TDA,spill,kcfs,Spill,220.4
2017,13-May,TDA,spill,kcfs,Spill,235.7
2017,14-May,TDA,spill,kcfs,Spill,250.5
2017,15-May,TDA,spill,kcfs,Spill,270.7
2017,16-May,TDA,spill,kcfs,Spill,270.5
2017,17-May,TDA,spill,kcfs,Spill,273.1
2017,18-May,TDA,spill,kcfs,Spill,280.7
2017,19-May,TDA,spill,kcfs,Spill,240.7
2017,20-May,TDA,spill,kcfs,Spill,229.4
2017,21-May,TDA,spill,kcfs,Spill,216.1
2017,22-May,TDA,spill,kcfs,Spill,220.9
2017,23-May,TDA,spill,kcfs,Spill,219.3
2017,24-May,TDA,spill,kcfs,Spill,222.5
2017,25-May,TDA,spill,kcfs,Spill,212.3
2017,26-May,TDA,spill,kcfs,Spill,207.2
2017,27-May,TDA,spill,kcfs,Spill,218.5
2017,28-May,TDA,spill,kcfs,Spill,219.7
2017,29-May,TDA,spill,kcfs,Spill,217.7
2017,30-May,TDA,spill,kcfs,Spill,227.9
2017,31-May,TDA,spill,kcfs,Spill,228.7
2017,1-Jun,TDA,spill,kcfs,Spill,230
2016,20-Apr,BON,spill,kcfs,Spill,118.6
2016,21-Apr,BON,spill,kcfs,Spill,106.6
2016,22-Apr,BON,spill,kcfs,Spill,144.8
2016,23-Apr,BON,spill,kcfs,Spill,163.2
2016,24-Apr,BON,spill,kcfs,Spill,159.7
2016,25-Apr,BON,spill,kcfs,Spill,164.5
2016,26-Apr,BON,spill,kcfs,Spill,150.7
2016,27-Apr,BON,spill,kcfs,Spill,120
2016,28-Apr,BON,spill,kcfs,Spill,119.9
2016,29-Apr,BON,spill,kcfs,Spill,118.6
2016,30-Apr,BON,spill,kcfs,Spill,111.3
2016,1-May,BON,spill,kcfs,Spill,100.4
2016,2-May,BON,spill,kcfs,Spill,100.3
2016,3-May,BON,spill,kcfs,Spill,100.1
2016,4-May,BON,spill,kcfs,Spill,101
2016,5-May,BON,spill,kcfs,Spill,101.1
2016,6-May,BON,spill,kcfs,Spill,100.2
2016,7-May,BON,spill,kcfs,Spill,100
2016,8-May,BON,spill,kcfs,Spill,104.2
2016,9-May,BON,spill,kcfs,Spill,106.2
2016,10-May,BON,spill,kcfs,Spill,125.6
2016,11-May,BON,spill,kcfs,Spill,107.3
2016,12-May,BON,spill,kcfs,Spill,100.7
2016,13-May,BON,spill,kcfs,Spill,99.9
2016,14-May,BON,spill,kcfs,Spill,100
2016,15-May,BON,spill,kcfs,Spill,100.8
2016,16-May,BON,spill,kcfs,Spill,100.1
2016,17-May,BON,spill,kcfs,Spill,99.7
2016,18-May,BON,spill,kcfs,Spill,99.6
2016,19-May,BON,spill,kcfs,Spill,99.7
2016,20-May,BON,spill,kcfs,Spill,99.9
2016,21-May,BON,spill,kcfs,Spill,99.5
2016,22-May,BON,spill,kcfs,Spill,100
2016,23-May,BON,spill,kcfs,Spill,100.6
2016,24-May,BON,spill,kcfs,Spill,99.7
2016,25-May,BON,spill,kcfs,Spill,100.2
2016,26-May,BON,spill,kcfs,Spill,100.5
2016,27-May,BON,spill,kcfs,Spill,101.3
2016,28-May,BON,spill,kcfs,Spill,100.9
2016,29-May,BON,spill,kcfs,Spill,100.8
2016,30-May,BON,spill,kcfs,Spill,100.1
2016,31-May,BON,spill,kcfs,Spill,99.7
2016,1-Jun,BON,spill,kcfs,Spill,98.9
2016,20-Apr,JDA,spill,kcfs,Spill,87.7
2016,21-Apr,JDA,spill,kcfs,Spill,91.4
2016,22-Apr,JDA,spill,kcfs,Spill,101.9
2016,23-Apr,JDA,spill,kcfs,Spill,119
2016,24-Apr,JDA,spill,kcfs,Spill,115.9
2016,25-Apr,JDA,spill,kcfs,Spill,102.8
2016,26-Apr,JDA,spill,kcfs,Spill,97.4
2016,27-Apr,JDA,spill,kcfs,Spill,89.7
2016,28-Apr,JDA,spill,kcfs,Spill,93.1
2016,29-Apr,JDA,spill,kcfs,Spill,93.8
2016,30-Apr,JDA,spill,kcfs,Spill,109.6
2016,1-May,JDA,spill,kcfs,Spill,100.5
2016,2-May,JDA,spill,kcfs,Spill,78.1
2016,3-May,JDA,spill,kcfs,Spill,78.7
2016,4-May,JDA,spill,kcfs,Spill,99.6
2016,5-May,JDA,spill,kcfs,Spill,95.2
2016,6-May,JDA,spill,kcfs,Spill,82.6
2016,7-May,JDA,spill,kcfs,Spill,84.5
2016,8-May,JDA,spill,kcfs,Spill,112.4
2016,9-May,JDA,spill,kcfs,Spill,107.4
2016,10-May,JDA,spill,kcfs,Spill,89.2
2016,11-May,JDA,spill,kcfs,Spill,90.9
2016,12-May,JDA,spill,kcfs,Spill,108.7
2016,13-May,JDA,spill,kcfs,Spill,103.8
2016,14-May,JDA,spill,kcfs,Spill,77.1
2016,15-May,JDA,spill,kcfs,Spill,78.4
2016,16-May,JDA,spill,kcfs,Spill,106
2016,17-May,JDA,spill,kcfs,Spill,104.2
2016,18-May,JDA,spill,kcfs,Spill,68.8
2016,19-May,JDA,spill,kcfs,Spill,75.2
2016,20-May,JDA,spill,kcfs,Spill,107.1
2016,21-May,JDA,spill,kcfs,Spill,89.5
2016,22-May,JDA,spill,kcfs,Spill,59.2
2016,23-May,JDA,spill,kcfs,Spill,67.4
2016,24-May,JDA,spill,kcfs,Spill,90.6
