"year","CRflow.aut"
1977,105795.081967213
1978,136037.362637363
1979,113437.362637363
1980,113474.725274725
1981,121238.461538462
1982,134585.714285714
1983,129450.549450549
1984,129870.32967033
1985,131259.340659341
1986,128293.406593407
1987,115381.318681319
1988,119250.549450549
1989,120141.758241758
1990,129408.791208791
1991,128513.186813187
1992,101784.615384615
1993,107018.681318681
1994,92514.2857142857
1995,130669.230769231
1996,130131.868131868
1997,155384.615384615
1998,112461.538461538
1999,139665.934065934
2000,117441.758241758
2001,92492.3076923077
2002,113472.527472527
2003,108409.89010989
2004,116464.835164835
2005,109495.604395604
2006,106443.956043956
2007,100115.384615385
2008,103174.725274725
2009,96979.1208791209
2010,106076.923076923
2011,125675.824175824
2012,116394.505494506
2013,110384.615384615
2014,104803.296703297
2015,104152.747252747
2016,114497.802197802
2017,106726.373626374
