"year","CRtemp.win"
1978,NA
1979,NA
1980,NA
1981,NA
1982,NA
1983,NA
1984,NA
1985,NA
1986,NA
1987,NA
1988,NA
1989,NA
1990,NA
1991,NA
1992,NA
1993,NA
1994,NA
1995,NA
1996,NA
1997,NA
1998,NA
1999,NA
2000,NA
2001,NA
2002,NA
2003,NA
2004,NA
2005,NA
2006,NA
2007,4.26
2008,4.63956043956044
2009,4.37777777777778
2010,5.05777777777778
2011,4.97666666666667
2012,4.75934065934066
2013,5.52272727272727
2014,4.26888888888889
2015,5.81
2016,5.6010989010989
2017,3.82134831460674
2018,5.55056179775281
