year,PDO-win,PDO-sum,ONI,SST46050,Temp_win_upper20,Temp_sum_upper20,deepTemp,deepSalinity,CopRichness,NcopBio,ScopBio,BioTrans,IchthyoBio,IchthyoCom,ChinookCPUE,cohoCPUE,PC1,PC2
1998,5.07,-0.37,1.12,13.66,12.27,10.38,8.59,33.54,4.54,-0.76,0.6,201,0.12,-5.1,0.25,0.35,4.56,1.9
1999,-1.75,-5.13,-1.07,13,10.31,10.13,7.63,33.86,-2.58,0.04,-0.23,119,0.9,5.42,1.27,2.29,-2.38,-0.11
2000,-4.17,-3.58,-1.07,12.54,10.12,10.19,7.74,33.78,-3.41,0.15,-0.21,97,1.8,-42.71,1.04,1.5,-2.89,-0.16
2001,1.86,-4.22,-0.4,12.56,10.22,9.77,7.56,33.86,-1.03,0.15,-0.21,101,1.25,-33.14,0.44,2.87,-2.15,-1.01
2002,-1.73,-0.26,0.18,12.3,10.08,8.98,7.46,33.85,-1.12,0.29,-0.23,120,1.05,-38.21,0.86,2.45,-2.53,-1.64
2003,7.45,3.42,0.27,12.92,10.7,9.62,7.81,33.68,1.99,-0.13,0.09,141,0.46,-3.13,0.64,3.6,0.68,-0.23
2004,1.85,2.96,0.2,14.59,10.85,11.39,7.89,33.66,1.42,0.06,0.2,131,0.58,48.62,0.41,1.14,2.25,2.5
2005,2.44,3.48,0.47,13.56,10.6,10.73,7.97,33.77,4.39,-0.84,0.55,214,0.83,44.95,0.14,0.27,3.46,0.18
2006,1.94,0.28,-0.3,12.77,10.61,9.97,7.83,33.85,2.68,-0.01,0.07,130,0.59,-39.29,0.69,1.14,-0.33,-0.22
2007,-0.17,0.91,0.08,13.87,10.04,9.99,7.58,33.88,-0.63,0.14,-0.07,81,0.6,2.7,0.86,3.52,-1.11,0.1
2008,-3.06,-7.63,-0.98,12.39,9.33,9.3,7.48,33.87,-0.76,0.26,-0.23,64,1.84,-42.43,2.64,3.58,-4.85,-1.95
2009,-5.41,-1.11,-0.23,13.02,10.19,9.9,7.73,33.72,-0.64,0.15,-0.19,83,0.89,10.46,0.97,1.87,-1.59,0.56
2010,2.17,-3.53,0.55,12.92,11.01,10.14,7.89,33.61,3.12,0.16,0.21,169,1.65,24.63,0.89,1.84,0.85,-0.29
2011,-3.65,-6.45,-0.72,13.06,10.02,10.05,7.81,33.74,-2.13,0.44,-0.14,98,0.61,2.19,0.44,1.26,-1.92,1.26
2012,-5.07,-7.79,-0.43,13.26,9.62,9.95,7.56,33.75,-1.31,0.39,-0.19,125,0.99,-36.68,1.29,1.07,-2.78,0.56
2013,-1.67,-3.47,-0.3,13.37,10.09,10.63,7.94,33.76,-2.51,0.28,-0.2,91,1.16,-30.73,1.35,4.92,-2.25,0.98
2014,1.24,5.07,-0.28,13.43,9.47,10.97,8.38,33.53,-0.11,0.26,-0.02,126,0.43,-19.82,0.86,1.63,0.39,3.41
2015,9.26,8.08,0.67,14.05,12.75,10.04,8.08,33.71,7.76,-0.33,0.43,,1.63,46.44,0.55,1.93,5.01,-1.8
2016,6.69,6.6,1.23,13.88,12.02,10.2,7.89,33.83,8.32,-0.9,0.52,,1.47,55.49,0.34,1.33,5.24,-2.34
2017,3.38,1.86,0.12,12.79,11.48,10.11,8.05,33.85,2.52,-0.62,0.31,179,1.9,50.33,0.06,0.19,2.36,-1.7
