"year","mei.spr"
1950,-1.285
1951,-0.707333333333333
1952,-0.0206666666666667
1953,0.566
1954,-0.655
1955,-1.49066666666667
1956,-1.321
1957,0.433
1958,0.997333333333333
1959,0.220333333333333
1960,-0.14
1961,-0.129333333333333
1962,-0.891333333333333
1963,-0.646
1964,-0.693333333333333
1965,0.0863333333333333
1966,0.336333333333333
1967,-0.852
1968,-0.902
1969,0.583333333333333
1970,0.041
1971,-1.71033333333333
1972,-0.00400000000000001
1973,0.412333333333333
1974,-1.49033333333333
1975,-0.893
1976,-0.966666666666667
1977,0.334
1978,0.248666666666667
1979,0.221333333333333
1980,0.860666666666667
1981,0.438666666666667
1982,0.187
1983,2.786
1984,0.233666666666667
1985,-0.632
1986,0.0946666666666667
1987,1.905
1988,0.358
1989,-0.739666666666667
1990,0.694333333333333
1991,0.534666666666667
1992,2.12033333333333
1993,1.47533333333333
1994,0.405
1995,0.632666666666667
1996,-0.222666666666667
1997,0.477
1998,2.551
1999,-0.825
2000,-0.421666666666667
2001,-0.109
2002,0.394666666666667
2003,0.489333333333333
2004,0.299666666666667
2005,0.865666666666667
2006,-0.353
2007,0.164666666666667
2008,-0.935666666666667
2009,-0.166666666666667
2010,1.04233333333333
2011,-1.05866666666667
2012,0.161
2013,0.087
2014,0.449666666666667
2015,1.05533333333333
2016,1.95933333333333
2017,0.715
