"year","mei.win"
1950,-1.0965
1951,-1.15566666666667
1952,0.351333333333333
1953,0.107666666666667
1954,0.089
1955,-0.841666666666667
1956,-1.519
1957,-0.76
1958,1.39333333333333
1959,0.68
1960,-0.269333333333333
1961,-0.265666666666667
1962,-0.887
1963,-0.687666666666667
1964,0.703666666666667
1965,-0.598666666666667
1966,1.249
1967,-0.520666666666667
1968,-0.569333333333333
1969,0.623333333333333
1970,0.404
1971,-1.31166666666667
1972,-0.656
1973,1.67
1974,-1.84366666666667
1975,-0.669333333333333
1976,-1.57033333333333
1977,0.455666666666667
1978,0.851
1979,0.458666666666667
1980,0.755333333333333
1981,-0.0966666666666667
1982,-0.173666666666667
1983,2.67066666666667
1984,-0.337666666666667
1985,-0.575333333333333
1986,-0.255666666666667
1987,1.21866666666667
1988,1.038
1989,-1.22533333333333
1990,0.312333333333333
1991,0.331666666666667
1992,1.65233333333333
1993,0.776666666666667
1994,0.376333333333333
1995,1.13866666666667
1996,-0.571333333333333
1997,-0.475333333333333
1998,2.52
1999,-1.029
2000,-1.158
2001,-0.569
2002,-0.0403333333333333
2003,1.10166666666667
2004,0.351
2005,0.606333333333333
2006,-0.467333333333333
2007,0.826
2008,-1.19066666666667
2009,-0.689
2010,1.215
2011,-1.61333333333333
2012,-0.873333333333333
2013,0.0446666666666667
2014,-0.256666666666667
2015,0.480666666666667
2016,2.16833333333333
2017,-0.0726666666666667
2018,-0.576
