"year","npi.sum"
1899,1017.54333333333
1900,1014.95666666667
1901,1015.88333333333
1902,1015.49333333333
1903,1015.86666666667
1904,1017.70333333333
1905,1016.62333333333
1906,1014.80666666667
1907,1016.66666666667
1908,1016.66
1909,1016.42666666667
1910,1017.58333333333
1911,1017.34666666667
1912,1015.87333333333
1913,1016.37
1914,1015.99666666667
1915,1018.29
1916,1016.94333333333
1917,1018.37
1918,1016.12333333333
1919,1017.98
1920,1015.47666666667
1921,1016.38333333333
1922,1018.25666666667
1923,1015.81666666667
1924,1016.92
1925,1017.23
1926,1015.55333333333
1927,1016.11
1928,1016.49666666667
1929,1015.66666666667
1930,1016.47666666667
1931,1015.68
1932,1016.92
1933,1016.80666666667
1934,1017.68666666667
1935,1016.52666666667
1936,1016.54
1937,1016
1938,1017.43333333333
1939,1016.54333333333
1940,1015.73333333333
1941,1014.88
1942,1015.42
1943,1016.17666666667
1944,1016.88
1945,1017.02
1946,1016.44
1947,1016.49666666667
1948,1016.84333333333
1949,1017.44666666667
1950,1014.83333333333
1951,1016.11333333333
1952,1016.63333333333
1953,1017.34333333333
1954,1016.11666666667
1955,1016.92333333333
1956,1016.37
1957,1015.87333333333
1958,1015.84666666667
1959,1016.73333333333
1960,1016.86333333333
1961,1016.82
1962,1017.36333333333
1963,1017.03666666667
1964,1015.44
1965,1015.73666666667
1966,1015.97
1967,1015.80666666667
1968,1015.78333333333
1969,1016.36
1970,1015.85333333333
1971,1015.32666666667
1972,1016.04
1973,1016.84666666667
1974,1015.87666666667
1975,1016.62333333333
1976,1015.42
1977,1015.67
1978,1016.92
1979,1016.68
1980,1018.09666666667
1981,1016.5
1982,1015.92333333333
1983,1016.15666666667
1984,1016.37
1985,1017.03666666667
1986,1015.68333333333
1987,1015.50333333333
1988,1015.76666666667
1989,1017.06666666667
1990,1015.94666666667
1991,1015.93666666667
1992,1015.64666666667
1993,1015.92
1994,1017.2
1995,1016.21666666667
1996,1017.66
1997,1015.58666666667
1998,1018.10333333333
1999,1015.84
2000,1016.93333333333
2001,1016.77
2002,1015.57333333333
2003,1016.10333333333
2004,1015.12666666667
2005,1015.51
2006,1016.98333333333
2007,1015.66666666667
2008,1016.11333333333
2009,1015.05666666667
2010,1017.64666666667
2011,1015.68666666667
2012,1016.67
2013,1015.98
2014,1015.84333333333
2015,1015.72333333333
2016,1018.85333333333
2017,1015.70333333333
