"year","npi.win"
1899,1009.63
1900,1006.75
1901,1008.44333333333
1902,1006.73333333333
1903,1012.45
1904,1012.65666666667
1905,1008.11
1906,1009.93666666667
1907,1013.13333333333
1908,1009.12
1909,1010.55666666667
1910,1012.17333333333
1911,1012.65666666667
1912,1006.6
1913,1009.37
1914,1005.51
1915,1010.88333333333
1916,1013.16333333333
1917,1009.67333333333
1918,1007.72666666667
1919,1007
1920,1010.08333333333
1921,1007.99333333333
1922,1012.06
1923,1009.05333333333
1924,1007.61333333333
1925,1007.38666666667
1926,1003.23
1927,1006.14
1928,1007.28333333333
1929,1005.60666666667
1930,1008.72
1931,1003.02
1932,1012.30333333333
1933,1010.02666666667
1934,1004.36333333333
1935,1007.37666666667
1936,1003.17333333333
1937,1014.34333333333
1938,1007.47
1939,1007.19666666667
1940,1000.45
1941,1002.18333333333
1942,1004.85
1943,1010.12666666667
1944,1006.18
1945,1002.695
1946,1005.71
1947,1009.34333333333
1948,1010.92333333333
1949,1012.35333333333
1950,1011.91666666667
1951,1009.15
1952,1010.65
1953,1004.82333333333
1954,1008.77333333333
1955,1011.42333333333
1956,1011.51
1957,1010.88666666667
1958,1005.36
1959,1009.15
1960,1007.90333333333
1961,1003.95333333333
1962,1009.20666666667
1963,1003.83333333333
1964,1006.51333333333
1965,1008.79666666667
1966,1010.09
1967,1007.84
1968,1006.72333333333
1969,1011.63
1970,1003.45
1971,1010.63
1972,1012.53333333333
1973,1009.08666666667
1974,1007.69666666667
1975,1008.40666666667
1976,1008.07666666667
1977,1001.75333333333
1978,1003.71
1979,1011.12333333333
1980,1005.14666666667
1981,1002.49666666667
1982,1009.81
1983,1001.59333333333
1984,1007.12333333333
1985,1008.33333333333
1986,1001.25
1987,1003.22333333333
1988,1006.35666666667
1989,1011.8
1990,1010.10666666667
1991,1007.45
1992,1004.54
1993,1008.79
1994,1008.51
1995,1004.72666666667
1996,1005.32333333333
1997,1005.36
1998,1003.09666666667
1999,1008.74333333333
2000,1008.32666666667
2001,1004.90333333333
2002,1008.24333333333
2003,1003.44666666667
2004,1003.56333333333
2005,1007.10333333333
2006,1007.29333333333
2007,1007.21333333333
2008,1008.58
2009,1013.04
2010,1003.13
2011,1010.83
2012,1007.75
2013,1008.45333333333
2014,1008
2015,1005.71666666667
2016,1002.82333333333
2017,1010.34
