"year","oni.aut"
1950,-0.6
1951,0.8
1952,0.2
1953,0.8
1954,-0.6
1955,-1.33333333333333
1956,-0.433333333333333
1957,1.2
1958,0.5
1959,-0.1
1960,0.1
1961,-0.266666666666667
1962,-0.266666666666667
1963,1.16666666666667
1964,-0.8
1965,1.7
1966,-0.0666666666666667
1967,-0.366666666666667
1968,0.433333333333333
1969,0.8
1970,-0.833333333333333
1971,-0.833333333333333
1972,1.76666666666667
1973,-1.66666666666667
1974,-0.566666666666667
1975,-1.4
1976,0.666666666666667
1977,0.633333333333333
1978,-0.266666666666667
1979,0.433333333333333
1980,0.0666666666666667
1981,-0.133333333333333
1982,1.83333333333333
1983,-0.566666666666667
1984,-0.6
1985,-0.3
1986,0.866666666666667
1987,1.4
1988,-1.43333333333333
1989,-0.266666666666667
1990,0.366666666666667
1991,0.866666666666667
1992,-0.2
1993,0.1
1994,0.766666666666667
1995,-0.933333333333333
1996,-0.4
1997,2.26666666666667
1998,-1.4
1999,-1.33333333333333
2000,-0.6
2001,-0.266666666666667
2002,1.16666666666667
2003,0.333333333333333
2004,0.7
2005,-0.333333333333333
2006,0.7
2007,-1.33333333333333
2008,-0.433333333333333
2009,1
2010,-1.66666666666667
2011,-1.03333333333333
2012,0.166666666666667
2013,-0.233333333333333
2014,0.4
2015,2.33333333333333
2016,-0.7
2017,-0.666666666666667
2018,NA
