"year","transport.win"
1967,-98.3788546255507
1968,109.254901960784
1969,217.064245810056
1970,19.8271954674221
1971,95.0056818181818
1972,104.421052631579
1973,80.4078212290503
1974,55.2022471910112
1975,76.59375
1976,-2.83333333333333
1977,-68.8027777777778
1978,112.646892655367
1979,69.3621169916435
1980,128.691460055096
1981,57.1472222222222
1982,94.0473537604457
1983,47.1708683473389
1984,83.1448863636364
1985,72.8796561604585
1986,136.810584958217
1987,105.83008356546
1988,54.1813186813187
1989,120.813888888889
1990,33.5777777777778
1991,49.2972222222222
1992,-64.9505494505494
1993,134.395543175487
1994,15.8551532033426
1995,85.1727019498607
1996,86.5276243093923
1997,219.003412969283
1998,116.393767705382
1999,226.480555555556
2000,321.830985915493
2001,220.312676056338
2002,170.788300835655
2003,247.57060518732
2004,337.818681318681
2005,-25.2541899441341
2006,-109.566666666667
2007,-226.647222222222
2008,-3.81792717086835
2009,37.8607954545455
2010,132.819444444444
2011,-6.93314763231198
2012,-191.989010989011
2013,-68.7805555555556
2014,21.0777777777778
2015,-54.5888888888889
2016,-41.2038567493113
2017,142.454038997214
