"year","CRflow.spr"
1978,222923.913043478
1979,196728.260869565
1980,186173.913043478
1981,186293.47826087
1982,320097.826086957
1983,314239.130434783
1984,281086.956521739
1985,210619.565217391
1986,276945.652173913
1987,175217.391304348
1988,153645.652173913
1989,211663.043478261
1990,212467.391304348
1991,252043.47826087
1992,172493.47826087
1993,202223.913043478
1994,163027.173913043
1995,208489.130434783
1996,323902.173913043
1997,356086.956521739
1998,232695.652173913
1999,273565.217391304
2000,240086.956521739
2001,124454.347826087
2002,193963.043478261
2003,199923.913043478
2004,175010.869565217
2005,170486.956521739
2006,269902.173913043
2007,230391.304347826
2008,204815.217391304
2009,214923.913043478
2010,150490.217391304
2011,308739.130434783
2012,300380.434782609
2013,221108.695652174
2014,264576.086956522
2015,188054.347826087
2016,245619.565217391
2017,387184.782608696
2018,212000
