"year","CRflow.sum"
1978,179053.260869565
1979,135309.782608696
1980,186035.869565217
1981,251771.739130435
1982,274839.130434783
1983,223402.173913043
1984,234728.260869565
1985,133732.608695652
1986,180168.47826087
1987,123996.739130435
1988,125751.086956522
1989,133401.086956522
1990,212725
1991,221434.782608696
1992,138784.782608696
1993,172590.217391304
1994,144456.52173913
1995,205978.260869565
1996,263173.913043478
1997,314271.739130435
1998,217684.782608696
1999,265608.695652174
2000,172975
2001,105682.608695652
2002,232760.869565217
2003,173641.304347826
2004,165600
2005,168739.130434783
2006,209097.826086957
2007,175402.173913043
2008,231228.260869565
2009,189566.304347826
2010,216179.347826087
2011,336978.260869565
2012,293739.130434783
2013,203380.434782609
2014,214076.086956522
2015,139808.695652174
2016,158043.47826087
2017,225163.043478261
