"year","CRtemp.aut"
1977,NA
1978,NA
1979,NA
1980,NA
1981,NA
1982,NA
1983,NA
1984,NA
1985,NA
1986,NA
1987,NA
1988,NA
1989,NA
1990,NA
1991,NA
1992,NA
1993,NA
1994,NA
1995,NA
1996,19.3
1997,20.475
1998,21.7588235294118
1999,19.325
2000,19.7
2001,20.435
2002,17.3469696969697
2003,21.08125
2004,19.4321428571429
2005,20.8714285714286
2006,15.6923076923077
2007,15.5483516483516
2008,15.721978021978
2009,15.4978021978022
2010,15.9208791208791
2011,15.9395604395604
2012,15.9021978021978
2013,15.9769230769231
2014,16.5043956043956
2015,16.4032967032967
2016,16.2021978021978
2017,15.6370786516854
