"year","CRtemp.spr"
1978,NA
1979,NA
1980,NA
1981,NA
1982,NA
1983,NA
1984,NA
1985,NA
1986,NA
1987,NA
1988,NA
1989,NA
1990,NA
1991,NA
1992,NA
1993,NA
1994,NA
1995,NA
1996,NA
1997,10.2969230769231
1998,11.290625
1999,10.1820895522388
2000,11.1544117647059
2001,11.3790322580645
2002,10.1838709677419
2003,10.7242857142857
2004,11
2005,10.9826086956522
2006,9.58125
2007,9.29239130434783
2008,8.69782608695652
2009,8.47934782608696
2010,9.66521739130435
2011,8.18913043478261
2012,8.80434782608696
2013,9.57391304347826
2014,9.34065934065934
2015,10.5978260869565
2016,10.7760869565217
2017,8.91
2018,3.83333333333333
