"year","SST.aut"
1987,12.5238469930499
1988,11.8374788255223
1989,12.154842621147
1990,13.6795426364526
1991,11.8514550176858
1992,12.2508132573963
1993,11.5904677919274
1994,11.4623954590958
1995,13.7399088747691
1996,12.4766324901806
1997,15.2313767925438
1998,12.8584456899208
1999,11.7694446306337
2000,12.2374043523141
2001,12.0427758232106
2002,11.6935590375808
2003,12.6229456336097
2004,13.6358069762953
2005,12.5660250808996
2006,11.9004482536064
2007,12.0177514768476
2008,12.4044588072961
2009,13.0303214085205
2010,12.8782260184325
2011,12.7192805781372
2012,12.3838128415694
2013,13.6154226484127
2014,14.8096485088151
2015,14.1757877669351
2016,13.8790513961553
2017,13.0627918210744
