"year","cui.aut"
1947,6
1948,12
1949,-41.3333333333333
1950,-11.3333333333333
1951,-23.3333333333333
1952,9.33333333333333
1953,-20
1954,-34.3333333333333
1955,20
1956,19.3333333333333
1957,22.3333333333333
1958,17
1959,22.3333333333333
1960,-7.33333333333333
1961,22.6666666666667
1962,-14.3333333333333
1963,-14.3333333333333
1964,13.6666666666667
1965,-0.666666666666667
1966,13.3333333333333
1967,1.66666666666667
1968,-21.3333333333333
1969,5.66666666666667
1970,9.33333333333333
1971,15.6666666666667
1972,22.3333333333333
1973,10.6666666666667
1974,18
1975,-3.66666666666667
1976,20.3333333333333
1977,3.66666666666667
1978,24.6666666666667
1979,-19
1980,-17.6666666666667
1981,-10.3333333333333
1982,-0.666666666666667
1983,-21.3333333333333
1984,-26
1985,26
1986,21.6666666666667
1987,3
1988,1
1989,31
1990,23
1991,33.3333333333333
1992,15
1993,39
1994,20
1995,1.66666666666667
1996,30.6666666666667
1997,-12.3333333333333
1998,-11.6666666666667
1999,8.33333333333333
2000,15
2001,-3.66666666666667
2002,0
2003,18.6666666666667
2004,32.3333333333333
2005,31.6666666666667
2006,11.3333333333333
2007,30.6666666666667
2008,23.3333333333333
2009,-14.3333333333333
2010,10.3333333333333
2011,13
2012,13.6666666666667
2013,26
2014,-2.33333333333333
2015,28.3333333333333
2016,-56.3333333333333
2017,-9
2018,NA
