"year","cui.spr"
1947,0.666666666666667
1948,-18
1949,-9.33333333333333
1950,-10.6666666666667
1951,6.66666666666667
1952,-3.66666666666667
1953,-15.3333333333333
1954,2
1955,13.3333333333333
1956,21.3333333333333
1957,-11
1958,1.66666666666667
1959,5.66666666666667
1960,-26.6666666666667
1961,-35.6666666666667
1962,0.333333333333333
1963,-10.6666666666667
1964,25.3333333333333
1965,23.6666666666667
1966,22
1967,18.6666666666667
1968,1.66666666666667
1969,-12.6666666666667
1970,10.3333333333333
1971,-4.33333333333333
1972,-6.66666666666667
1973,13
1974,-12.3333333333333
1975,10.6666666666667
1976,-5.66666666666667
1977,-3.33333333333333
1978,-0.666666666666667
1979,4
1980,6
1981,-10
1982,14.6666666666667
1983,-28.3333333333333
1984,-23.6666666666667
1985,-4.33333333333333
1986,-16.6666666666667
1987,-14.6666666666667
1988,-14.3333333333333
1989,-20
1990,-4
1991,10.3333333333333
1992,10.3333333333333
1993,-43.6666666666667
1994,-3
1995,2
1996,-15.6666666666667
1997,-23.3333333333333
1998,0
1999,-10.6666666666667
2000,-11.3333333333333
2001,5.66666666666667
2002,-1
2003,-33.6666666666667
2004,-5.66666666666667
2005,-16
2006,-22
2007,5.33333333333333
2008,2
2009,2
2010,-16.3333333333333
2011,-59.3333333333333
2012,-31.3333333333333
2013,-3
2014,-18.3333333333333
2015,19.3333333333333
2016,-14
2017,-28.3333333333333
2018,NA
