"year","cui.win"
1947,41
1948,41
1949,45.6666666666667
1950,0.666666666666667
1951,-12.6666666666667
1952,16.6666666666667
1953,-91.6666666666667
1954,10.3333333333333
1955,8
1956,-3.33333333333333
1957,48.6666666666667
1958,-108
1959,4.33333333333333
1960,16
1961,-80
1962,51.3333333333333
1963,9
1964,12.3333333333333
1965,15.6666666666667
1966,13.6666666666667
1967,-10
1968,-17
1969,0.333333333333333
1970,-30.6666666666667
1971,26.6666666666667
1972,28.3333333333333
1973,4
1974,6
1975,16.3333333333333
1976,39.6666666666667
1977,12.6666666666667
1978,-33
1979,20
1980,-32.3333333333333
1981,-51
1982,8.33333333333333
1983,-94
1984,7.33333333333333
1985,51.6666666666667
1986,-81.3333333333333
1987,-32.3333333333333
1988,11
1989,61
1990,46.3333333333333
1991,36.6666666666667
1992,-40
1993,32
1994,14.3333333333333
1995,-73
1996,-17.3333333333333
1997,28.3333333333333
1998,-61.3333333333333
1999,-101.333333333333
2000,8.33333333333333
2001,17.6666666666667
2002,-14
2003,-65
2004,-75.3333333333333
2005,49
2006,-3
2007,38.3333333333333
2008,45.6666666666667
2009,64.6666666666667
2010,-60
2011,11.3333333333333
2012,43
2013,48
2014,53
2015,32.3333333333333
2016,-100
2017,33
