"year","ersstArc.aut"
1980,-0.306184844312997
1981,0.0974571255431778
1982,-0.27847945690155
1983,0.127248558504828
1984,0.0422866284162149
1985,-0.158792608633809
1986,0.470028803266328
1987,0.149015307700497
1988,-0.235127068114007
1989,0.12108399840607
1990,0.252725717391091
1991,0.125350232507991
1992,0.352065734753663
1993,0.278170569189664
1994,-0.0277927935808554
1995,0.26582219189611
1996,0.103066505234817
1997,0.756686256123685
1998,-0.26651357837107
1999,-0.779979069479581
2000,-0.276632072733737
2001,-0.34946448994779
2002,0.137312965831537
2003,0.401184830720397
2004,0.358863334820188
2005,0.014943702741601
2006,-0.0783661151754445
2007,-0.359404956883398
2008,-0.556527411526647
2009,-0.199538592086441
2010,-0.376077121975778
2011,-0.520385226984134
2012,-0.574507913370242
2013,0.182210970473015
2014,1.34141088792647
2015,1.32779742876689
2016,0.898783725431596
2017,0.539070495517775
