"year","mei.aut"
1950,-0.713666666666667
1951,0.755666666666667
1952,0.108333333333333
1953,0.25
1954,-1.19033333333333
1955,-1.78033333333333
1956,-1.26733333333333
1957,1.14633333333333
1958,0.315666666666667
1959,-0.021
1960,-0.359666666666667
1961,-0.399
1962,-0.589333333333333
1963,0.830666666666667
1964,-1.23033333333333
1965,1.35266666666667
1966,-0.0186666666666667
1967,-0.554333333333333
1968,0.437
1969,0.473333333333333
1970,-1.119
1971,-1.37966666666667
1972,1.66033333333333
1973,-1.61466666666667
1974,-0.953333333333333
1975,-1.85633333333333
1976,0.851
1977,0.943333333333333
1978,-0.0526666666666667
1979,0.751333333333333
1980,0.265
1981,0.106666666666667
1982,2.11233333333333
1983,0.149333333333333
1984,-0.130333333333333
1985,-0.223
1986,1.00266666666667
1987,1.62066666666667
1988,-1.42033333333333
1989,-0.221333333333333
1990,0.367
1991,1.00366666666667
1992,0.592
1993,0.983
1994,1.22666666666667
1995,-0.446666666666667
1996,-0.299333333333333
1997,2.677
1998,-0.819333333333333
1999,-0.974
2000,-0.426
2001,-0.18
2002,1.014
2003,0.536666666666667
2004,0.644333333333333
2005,-0.0656666666666667
2006,1.03766666666667
2007,-1.176
2008,-0.603333333333333
2009,0.934333333333333
2010,-1.74
2011,-0.867
2012,0.196333333333333
2013,-0.00633333333333334
2014,0.605333333333333
2015,2.36266666666667
2016,-0.217
2017,-0.425666666666667
