"year","npgo.spr"
1950,-0.819301953333333
1951,-0.734031646666667
1952,-0.576581256666667
1953,1.24608006666667
1954,-0.15239996
1955,0.0287150466666667
1956,0.0422338473333333
1957,-1.21097663333333
1958,-0.90734607
1959,-0.427073893333333
1960,0.858557096666667
1961,1.36892174
1962,-0.606035993333333
1963,-0.778448603333333
1964,0.291241286666667
1965,-0.993733446666667
1966,-1.21569434333333
1967,-1.00189171
1968,-1.01658945666667
1969,-0.335863331
1970,-0.0500761833333333
1971,0.600884986666667
1972,-0.707543146666667
1973,0.0439082026666667
1974,-0.0592448283333333
1975,0.693643386666667
1976,2.09899476666667
1977,1.38928846666667
1978,0.552076593333333
1979,-0.81500131
1980,-0.475883982666667
1981,-0.372529246666667
1982,-0.894959713333333
1983,-0.344720186666667
1984,0.953559626666667
1985,0.23567779
1986,-0.64380841
1987,0.343507176666667
1988,1.44001996
1989,0.765536273333333
1990,0.266075201666667
1991,-0.357650574666667
1992,-1.35001079
1993,-1.19672488666667
1994,-1.20140714666667
1995,-1.79461756666667
1996,-0.953215386666667
1997,-0.667120213333333
1998,0.564137516666667
1999,1.7417763
2000,2.2449434
2001,2.18220386666667
2002,1.29942382
2003,1.17056396666667
2004,0.23851165
2005,-1.32103498
2006,-0.466175666666667
2007,0.134359146666667
2008,1.50294446666667
2009,0.43414647
2010,1.56599523333333
2011,1.06448791333333
2012,1.55678803333333
2013,0.65704763
2014,-0.28129661
2015,-1.16484473
2016,-0.20351443
2017,-0.505154133333333
