"year","npi.aut"
1899,1010.37666666667
1900,1013.63333333333
1901,1011.85
1902,1013.52333333333
1903,1013.5
1904,1013.39
1905,1013.31333333333
1906,1012.32666666667
1907,1014.38333333333
1908,1011.29
1909,1013.71333333333
1910,1013.03333333333
1911,1012.59
1912,1011.85666666667
1913,1013.00333333333
1914,1012.80333333333
1915,1013.91
1916,1015.83
1917,1014.13
1918,1012.35
1919,1015.00333333333
1920,1012.66
1921,1012.17
1922,1013.68333333333
1923,1010.58333333333
1924,1011.87666666667
1925,1011.50333333333
1926,1009.74
1927,1011.79666666667
1928,1011.78
1929,1011.05
1930,1013.19666666667
1931,1014.04666666667
1932,1013.04
1933,1012.86333333333
1934,1011.52333333333
1935,1014.33
1936,1011.73333333333
1937,1011.76666666667
1938,1011.16666666667
1939,1012.93
1940,1011.39333333333
1941,1013.14666666667
1942,1014.08666666667
1943,1010.16666666667
1944,1012.95333333333
1945,1014.50666666667
1946,1014.38
1947,1011.46333333333
1948,1012.29666666667
1949,1011.19
1950,1013.25
1951,1011.12
1952,1011.9
1953,1010.71333333333
1954,1010.43333333333
1955,1014.08333333333
1956,1013.69
1957,1010.32333333333
1958,1013.30333333333
1959,1010.58333333333
1960,1013.36333333333
1961,1014.66
1962,1011.68
1963,1011.44333333333
1964,1013.81333333333
1965,1013.63333333333
1966,1013.35666666667
1967,1011.02666666667
1968,1011.00333333333
1969,1011.04333333333
1970,1014.37666666667
1971,1014.06666666667
1972,1013.12666666667
1973,1014.63
1974,1011.86666666667
1975,1014.21666666667
1976,1010.54333333333
1977,1013.51
1978,1012.46
1979,1011.18666666667
1980,1010.96333333333
1981,1012.52
1982,1013.05333333333
1983,1011.96333333333
1984,1010.71666666667
1985,1014.68333333333
1986,1012.63
1987,1012.53333333333
1988,1012.50666666667
1989,1014.01
1990,1015.74666666667
1991,1011.21666666667
1992,1012.16666666667
1993,1014.01333333333
1994,1014.38333333333
1995,1011.68666666667
1996,1013.74333333333
1997,1011.91666666667
1998,1012.44
1999,1013.36666666667
2000,1011.79666666667
2001,1011.47666666667
2002,1009.77
2003,1014.26333333333
2004,1013.19333333333
2005,1014.30666666667
2006,1014.56
2007,1011.61333333333
2008,1013.40333333333
2009,1012.17333333333
2010,1012.71333333333
2011,1013.20333333333
2012,1013.48666666667
2013,1013.70333333333
2014,1010.58
2015,1013.82666666667
2016,1011.45
2017,NA
