"year","npi.spr"
1899,1013.03333333333
1900,1010.22
1901,1016.77333333333
1902,1015.81333333333
1903,1017.38333333333
1904,1015.79333333333
1905,1011.91666666667
1906,1013.86666666667
1907,1016.5
1908,1016.84333333333
1909,1016.16333333333
1910,1011.83666666667
1911,1015.53666666667
1912,1014.17666666667
1913,1013.17333333333
1914,1015.77333333333
1915,1010.49333333333
1916,1015.02333333333
1917,1015.73
1918,1017.02666666667
1919,1011.77666666667
1920,1017.07666666667
1921,1015.62
1922,1014.51666666667
1923,1014.47
1924,1014.41
1925,1013.13333333333
1926,1009.29
1927,1016.86666666667
1928,1012.29666666667
1929,1014.23666666667
1930,1014.58666666667
1931,1012.45666666667
1932,1010.83333333333
1933,1014.07
1934,1011.74
1935,1014.55
1936,1013.47333333333
1937,1012.99333333333
1938,1011.71
1939,1014.79333333333
1940,1010.17666666667
1941,1011.71666666667
1942,1013.42
1943,1013.74333333333
1944,1013.59333333333
1945,1014
1946,1014.11
1947,1011.95
1948,1017.78666666667
1949,1011.99666666667
1950,1013.03
1951,1013.44666666667
1952,1014.52
1953,1012.80333333333
1954,1016.00666666667
1955,1015.88333333333
1956,1013.93
1957,1011.60666666667
1958,1013.6
1959,1014.61333333333
1960,1014.35333333333
1961,1014.47666666667
1962,1016.65
1963,1016.91333333333
1964,1018.28
1965,1014.37
1966,1014.65666666667
1967,1018.41666666667
1968,1015.25666666667
1969,1012.65
1970,1013.95666666667
1971,1013.40333333333
1972,1014.80333333333
1973,1013.93333333333
1974,1012.45666666667
1975,1015.94
1976,1014.53666666667
1977,1016.42333333333
1978,1013.49666666667
1979,1012.39
1980,1012.13
1981,1011.67666666667
1982,1016.46
1983,1011.71666666667
1984,1012.03666666667
1985,1016.74333333333
1986,1013.69
1987,1012.35
1988,1012.97333333333
1989,1015.63
1990,1013.42333333333
1991,1014.41
1992,1013.37
1993,1009.92666666667
1994,1013.31666666667
1995,1013.22666666667
1996,1012.12333333333
1997,1013.08333333333
1998,1013.01
1999,1014.96
2000,1012.42333333333
2001,1014.38333333333
2002,1015.74666666667
2003,1013.61
2004,1013.59
2005,1011.42
2006,1015.59666666667
2007,1012.70666666667
2008,1015.17
2009,1016.43666666667
2010,1014.10666666667
2011,1013.1
2012,1015.21
2013,1015.29333333333
2014,1012.61
2015,1014.72333333333
2016,1012.05666666667
2017,1012.39
