"year","oni.spr"
1950,-1.13333333333333
1951,0.0666666666666667
1952,0.4
1953,0.7
1954,-0.3
1955,-0.7
1956,-0.533333333333333
1957,0.533333333333333
1958,0.9
1959,0.233333333333333
1960,-0.0666666666666667
1961,0
1962,-0.266666666666667
1963,0.166666666666667
1964,-0.266666666666667
1965,0.133333333333333
1966,0.6
1967,-0.4
1968,-0.433333333333333
1969,0.733333333333333
1970,0.266666666666667
1971,-0.933333333333333
1972,0.3
1973,0.0666666666666667
1974,-1.03333333333333
1975,-0.633333333333333
1976,-0.466666666666667
1977,0.333333333333333
1978,-0.133333333333333
1979,0.266666666666667
1980,0.4
1981,-0.3
1982,0.433333333333333
1983,1.23333333333333
1984,-0.366666666666667
1985,-0.7
1986,-0.2
1987,1
1988,-0.333333333333333
1989,-0.866666666666667
1990,0.3
1991,0.333333333333333
1992,1.3
1993,0.633333333333333
1994,0.3
1995,0.3
1996,-0.433333333333333
1997,0.333333333333333
1998,0.966666666666667
1999,-1.03333333333333
2000,-0.866666666666667
2001,-0.333333333333333
2002,0.233333333333333
2003,0.0333333333333333
2004,0.2
2005,0.366666666666667
2006,-0.266666666666667
2007,-0.166666666666667
2008,-0.966666666666667
2009,-0.2
2010,0.4
2011,-0.633333333333333
2012,-0.366666666666667
2013,-0.233333333333333
2014,0.0666666666666667
2015,0.8
2016,1.06666666666667
2017,0.266666666666667
2018,NA
