"year","pdo.aut"
1900,-0.15
1901,-0.256666666666667
1902,0.433333333333333
1903,0.00666666666666667
1904,0.646666666666667
1905,0.31
1906,0.486666666666667
1907,0.423333333333333
1908,-0.0333333333333333
1909,-0.436666666666667
1910,-0.08
1911,-0.123333333333333
1912,0.746666666666667
1913,0.7
1914,-0.14
1915,-0.2
1916,-0.556666666666667
1917,-0.83
1918,0.12
1919,-0.386666666666667
1920,-0.866666666666667
1921,0.303333333333333
1922,-0.19
1923,0.493333333333333
1924,-0.496666666666667
1925,0.48
1926,1.27666666666667
1927,-0.366666666666667
1928,-0.86
1929,0.493333333333333
1930,-0.296666666666667
1931,0.0533333333333333
1932,-0.523333333333333
1933,-0.973333333333333
1934,1.66
1935,0.44
1936,1.59666666666667
1937,0.403333333333333
1938,0.18
1939,-1.09666666666667
1940,0.99
1941,1.20333333333333
1942,0.373333333333333
1943,-0.08
1944,-0.21
1945,-0.703333333333333
1946,-0.686666666666667
1947,0.43
1948,-1.31666666666667
1949,-1.05666666666667
1950,-1.98666666666667
1951,-0.226666666666667
1952,-0.666666666666667
1953,-0.583333333333333
1954,0.1
1955,-2.61
1956,-1.70666666666667
1957,0.923333333333333
1958,0.04
1959,0.26
1960,-0.36
1961,-2.04666666666667
1962,-1.16666666666667
1963,-0.716666666666667
1964,-0.616666666666667
1965,-0.12
1966,-0.883333333333333
1967,-0.47
1968,-0.24
1969,0.203333333333333
1970,-1.28666666666667
1971,-0.42
1972,0.283333333333333
1973,-1.06333333333333
1974,0.256666666666667
1975,-1.53333333333333
1976,1.06
1977,-0.626666666666667
1978,-0.136666666666667
1979,0.846666666666667
1980,0.606666666666667
1981,0.466666666666667
1982,0.32
1983,0.963333333333333
1984,0.653333333333333
1985,-0.00666666666666667
1986,0.996666666666667
1987,1.75666666666667
1988,-0.163333333333333
1989,-0.19
1990,-0.666666666666667
1991,0.52
1992,0.896666666666667
1993,1.40333333333333
1994,-1.54666666666667
1995,0.45
1996,-9.25411729306898e-18
1997,1.64
1998,-1.04
1999,-1.93666666666667
2000,-1.02333333333333
2001,-1.33333333333333
2002,0.786666666666667
2003,0.453333333333333
2004,0.00333333333333333
2005,-1.09333333333333
2006,-0.403333333333333
2007,-0.963333333333333
2008,-1.52
2009,0.13
2010,-1.16333333333333
2011,-1.82
2012,-1.19666666666667
2013,-0.486666666666667
2014,1.43
2015,1.42333333333333
2016,0.963333333333333
2017,0.173333333333333
