"year","transport.aut"
1967,-36.5307262569832
1968,-66.2722222222222
1969,-27.5580736543909
1970,18.7628571428571
1971,-34.0055096418733
1972,-8.00554016620499
1973,36.8254847645429
1974,1.21944444444444
1975,-34.8575498575499
1976,-19.0756302521008
1977,-59.0631868131868
1978,-20.1222222222222
1979,28.6083333333333
1980,5.6043956043956
1981,20.828729281768
1982,65.4697802197802
1983,-14.4490358126722
1984,34.1367521367521
1985,72.6043956043956
1986,-0.65564738292011
1987,-25.1577464788732
1988,-23.6741573033708
1989,-9.53168044077135
1990,-57.3324175824176
1991,-6.58241758241758
1992,-36.0027472527473
1993,12.2857142857143
1994,1.99175824175824
1995,-0.324175824175824
1996,3.86813186813187
1997,105.008356545961
1998,112.815934065934
1999,68.7301136363636
2000,49.7423822714681
2001,-19.5574229691877
2002,25.9745762711864
2003,94.8864265927978
2004,-41.5386740331492
2005,-90.3681318681319
2006,22.1923076923077
2007,-110.964187327824
2008,-112.209366391185
2009,-27.7087912087912
2010,-71.75
2011,-132.019230769231
2012,-5.91758241758242
2013,31.2225274725275
2014,-26.5564738292011
2015,-28.5540166204986
2016,-48.6561604584527
2017,-1.66386554621849
