year,mm-dd,location,parameter,unit,datatype,value
2017,20-Apr,BON,outflow,kcfs,Outflow,345.7
2017,21-Apr,BON,outflow,kcfs,Outflow,375.3
2017,22-Apr,BON,outflow,kcfs,Outflow,380.4
2017,23-Apr,BON,outflow,kcfs,Outflow,376.4
2017,24-Apr,BON,outflow,kcfs,Outflow,361.1
2017,25-Apr,BON,outflow,kcfs,Outflow,365.2
2017,26-Apr,BON,outflow,kcfs,Outflow,377.3
2017,27-Apr,BON,outflow,kcfs,Outflow,380.2
2017,28-Apr,BON,outflow,kcfs,Outflow,384.3
2017,29-Apr,BON,outflow,kcfs,Outflow,381.6
2017,30-Apr,BON,outflow,kcfs,Outflow,361.8
2017,1-May,BON,outflow,kcfs,Outflow,352.4
2017,2-May,BON,outflow,kcfs,Outflow,350.6
2017,3-May,BON,outflow,kcfs,Outflow,345.8
2017,4-May,BON,outflow,kcfs,Outflow,340.8
2017,5-May,BON,outflow,kcfs,Outflow,350.6
2017,6-May,BON,outflow,kcfs,Outflow,388.4
2017,7-May,BON,outflow,kcfs,Outflow,436.8
2017,8-May,BON,outflow,kcfs,Outflow,454.5
2017,9-May,BON,outflow,kcfs,Outflow,451.8
2017,10-May,BON,outflow,kcfs,Outflow,443.5
2017,11-May,BON,outflow,kcfs,Outflow,438.7
2017,12-May,BON,outflow,kcfs,Outflow,450.4
2017,13-May,BON,outflow,kcfs,Outflow,441.5
2017,14-May,BON,outflow,kcfs,Outflow,438.6
2017,15-May,BON,outflow,kcfs,Outflow,438.4
2017,16-May,BON,outflow,kcfs,Outflow,435.7
2017,17-May,BON,outflow,kcfs,Outflow,429.5
2017,18-May,BON,outflow,kcfs,Outflow,434.2
2017,19-May,BON,outflow,kcfs,Outflow,423.2
2017,20-May,BON,outflow,kcfs,Outflow,410
2017,21-May,BON,outflow,kcfs,Outflow,402.4
2017,22-May,BON,outflow,kcfs,Outflow,391.7
2017,23-May,BON,outflow,kcfs,Outflow,395.3
2017,24-May,BON,outflow,kcfs,Outflow,405.7
2017,25-May,BON,outflow,kcfs,Outflow,435.7
2017,26-May,BON,outflow,kcfs,Outflow,440.3
2017,27-May,BON,outflow,kcfs,Outflow,432.1
2017,28-May,BON,outflow,kcfs,Outflow,420.9
2017,29-May,BON,outflow,kcfs,Outflow,414.5
2017,30-May,BON,outflow,kcfs,Outflow,426.4
2017,31-May,BON,outflow,kcfs,Outflow,446.9
2017,1-Jun,BON,outflow,kcfs,Outflow,452.7
2017,20-Apr,JDA,outflow,kcfs,Outflow,331.2
2017,21-Apr,JDA,outflow,kcfs,Outflow,380.6
2017,22-Apr,JDA,outflow,kcfs,Outflow,366.9
2017,23-Apr,JDA,outflow,kcfs,Outflow,354.7
2017,24-Apr,JDA,outflow,kcfs,Outflow,352.4
2017,25-Apr,JDA,outflow,kcfs,Outflow,344.8
2017,26-Apr,JDA,outflow,kcfs,Outflow,369.1
2017,27-Apr,JDA,outflow,kcfs,Outflow,368.7
2017,28-Apr,JDA,outflow,kcfs,Outflow,373
2017,29-Apr,JDA,outflow,kcfs,Outflow,369
2017,30-Apr,JDA,outflow,kcfs,Outflow,344.5
2017,1-May,JDA,outflow,kcfs,Outflow,336.3
2017,2-May,JDA,outflow,kcfs,Outflow,345
2017,3-May,JDA,outflow,kcfs,Outflow,330.3
