year,mm-dd,location,parameter,unit,datatype,value
2017,20-Apr,BON,spillpct,%,Spill Percent,43.708
2017,21-Apr,BON,spillpct,%,Spill Percent,46.336
2017,22-Apr,BON,spillpct,%,Spill Percent,45.137
2017,23-Apr,BON,spillpct,%,Spill Percent,43.597
2017,24-Apr,BON,spillpct,%,Spill Percent,43.451
2017,25-Apr,BON,spillpct,%,Spill Percent,44.195
2017,26-Apr,BON,spillpct,%,Spill Percent,43.891
2017,27-Apr,BON,spillpct,%,Spill Percent,43.661
2017,28-Apr,BON,spillpct,%,Spill Percent,43.95
2017,29-Apr,BON,spillpct,%,Spill Percent,44.471
2017,30-Apr,BON,spillpct,%,Spill Percent,42.316
2017,1-May,BON,spillpct,%,Spill Percent,40.125
2017,2-May,BON,spillpct,%,Spill Percent,42.27
2017,3-May,BON,spillpct,%,Spill Percent,42.394
2017,4-May,BON,spillpct,%,Spill Percent,39.319
2017,5-May,BON,spillpct,%,Spill Percent,39.646
2017,6-May,BON,spillpct,%,Spill Percent,46.473
2017,7-May,BON,spillpct,%,Spill Percent,54.029
2017,8-May,BON,spillpct,%,Spill Percent,55.798
2017,9-May,BON,spillpct,%,Spill Percent,57.348
2017,10-May,BON,spillpct,%,Spill Percent,56.685
2017,11-May,BON,spillpct,%,Spill Percent,55.892
2017,12-May,BON,spillpct,%,Spill Percent,56.172
2017,13-May,BON,spillpct,%,Spill Percent,55.787
2017,14-May,BON,spillpct,%,Spill Percent,54.514
2017,15-May,BON,spillpct,%,Spill Percent,53.604
2017,16-May,BON,spillpct,%,Spill Percent,53.798
2017,17-May,BON,spillpct,%,Spill Percent,53.411
2017,18-May,BON,spillpct,%,Spill Percent,53.316
2017,19-May,BON,spillpct,%,Spill Percent,52.788
2017,20-May,BON,spillpct,%,Spill Percent,51.122
2017,21-May,BON,spillpct,%,Spill Percent,51.019
2017,22-May,BON,spillpct,%,Spill Percent,51.136
2017,23-May,BON,spillpct,%,Spill Percent,51.075
2017,24-May,BON,spillpct,%,Spill Percent,52.526
2017,25-May,BON,spillpct,%,Spill Percent,55.543
2017,26-May,BON,spillpct,%,Spill Percent,56.121
2017,27-May,BON,spillpct,%,Spill Percent,55.52
2017,28-May,BON,spillpct,%,Spill Percent,54.764
2017,29-May,BON,spillpct,%,Spill Percent,54.065
2017,30-May,BON,spillpct,%,Spill Percent,55.91
2017,31-May,BON,spillpct,%,Spill Percent,59.387
2017,1-Jun,BON,spillpct,%,Spill Percent,59.576
2017,20-Apr,JDA,spillpct,%,Spill Percent,39.463
2017,21-Apr,JDA,spillpct,%,Spill Percent,38.807
2017,22-Apr,JDA,spillpct,%,Spill Percent,32.652
2017,23-Apr,JDA,spillpct,%,Spill Percent,30.11
2017,24-Apr,JDA,spillpct,%,Spill Percent,30.25
2017,25-Apr,JDA,spillpct,%,Spill Percent,32.918
2017,26-Apr,JDA,spillpct,%,Spill Percent,35.465
2017,27-Apr,JDA,spillpct,%,Spill Percent,32.601
2017,28-Apr,JDA,spillpct,%,Spill Percent,31.501
2017,29-Apr,JDA,spillpct,%,Spill Percent,33.36
2017,30-Apr,JDA,spillpct,%,Spill Percent,32.104
2017,1-May,JDA,spillpct,%,Spill Percent,32.947
2017,2-May,JDA,spillpct,%,Spill Percent,33.623
2017,3-May,JDA,spillpct,%,Spill Percent,35.362
2017,4-May,JDA,spillpct,%,Spill Percent,35.933
2017,5-May,JDA,spillpct,%,Spill Percent,34.933
2017,6-May,JDA,spillpct,%,Spill Percent,35.524
2017,7-May,JDA,spillpct,%,Spill Percent,40.929
2017,8-May,JDA,spillpct,%,Spill Percent,44.144
2017,9-May,JDA,spillpct,%,Spill Percent,44.406
2017,10-May,JDA,spillpct,%,Spill Percent,45.924
2017,11-May,JDA,spillpct,%,Spill Percent,43.645
2017,12-May,JDA,spillpct,%,Spill Percent,40.105
2017,13-May,JDA,spillpct,%,Spill Percent,40.558
2017,14-May,JDA,spillpct,%,Spill Percent,38.977
2017,15-May,JDA,spillpct,%,Spill Percent,38.949
2017,16-May,JDA,spillpct,%,Spill Percent,37.624
2017,17-May,JDA,spillpct,%,Spill Percent,38.625
2017,18-May,JDA,spillpct,%,Spill Percent,43.741
2017,19-May,JDA,spillpct,%,Spill Percent,40.544
2017,20-May,JDA,spillpct,%,Spill Percent,36.995
2017,21-May,JDA,spillpct,%,Spill Percent,37.51
2017,22-May,JDA,spillpct,%,Spill Percent,41.814
2017,23-May,JDA,spillpct,%,Spill Percent,41.438
2017,24-May,JDA,spillpct,%,Spill Percent,41.689
2017,25-May,JDA,spillpct,%,Spill Percent,44.933
2017,26-May,JDA,spillpct,%,Spill Percent,40.352
2017,27-May,JDA,spillpct,%,Spill Percent,38.27
2017,28-May,JDA,spillpct,%,Spill Percent,38.229
2017,29-May,JDA,spillpct,%,Spill Percent,38.386
2017,30-May,JDA,spillpct,%,Spill Percent,39.468
2017,31-May,JDA,spillpct,%,Spill Percent,41.85
2017,1-Jun,JDA,spillpct,%,Spill Percent,42.266
2017,20-Apr,TDA,spillpct,%,Spill Percent,41.434
2017,21-Apr,TDA,spillpct,%,Spill Percent,55.171
2017,22-Apr,TDA,spillpct,%,Spill Percent,57.569
2017,23-Apr,TDA,spillpct,%,Spill Percent,57.172
2017,24-Apr,TDA,spillpct,%,Spill Percent,56.112
2017,25-Apr,TDA,spillpct,%,Spill Percent,53.789
2017,26-Apr,TDA,spillpct,%,Spill Percent,49.232
2017,27-Apr,TDA,spillpct,%,Spill Percent,48.577
2017,28-Apr,TDA,spillpct,%,Spill Percent,48.446
2017,29-Apr,TDA,spillpct,%,Spill Percent,53.118
2017,30-Apr,TDA,spillpct,%,Spill Percent,45.174
2017,1-May,TDA,spillpct,%,Spill Percent,44.255
2017,2-May,TDA,spillpct,%,Spill Percent,48.883
2017,3-May,TDA,spillpct,%,Spill Percent,43.777
2017,4-May,TDA,spillpct,%,Spill Percent,41.312
2017,5-May,TDA,spillpct,%,Spill Percent,43.422
2017,6-May,TDA,spillpct,%,Spill Percent,51.307
2017,7-May,TDA,spillpct,%,Spill Percent,68.496
2017,8-May,TDA,spillpct,%,Spill Percent,70.747
2017,9-May,TDA,spillpct,%,Spill Percent,71.274
2017,10-May,TDA,spillpct,%,Spill Percent,71.435
2017,11-May,TDA,spillpct,%,Spill Percent,59.566
2017,12-May,TDA,spillpct,%,Spill Percent,51.774
2017,13-May,TDA,spillpct,%,Spill Percent,55.655
2017,14-May,TDA,spillpct,%,Spill Percent,59.728
2017,15-May,TDA,spillpct,%,Spill Percent,64.284
2017,16-May,TDA,spillpct,%,Spill Percent,66.185
2017,17-May,TDA,spillpct,%,Spill Percent,66.642
2017,18-May,TDA,spillpct,%,Spill Percent,65.815
2017,19-May,TDA,spillpct,%,Spill Percent,59.712
2017,20-May,TDA,spillpct,%,Spill Percent,58.866
2017,21-May,TDA,spillpct,%,Spill Percent,58.232
2017,22-May,TDA,spillpct,%,Spill Percent,59.526
2017,23-May,TDA,spillpct,%,Spill Percent,57.985
2017,24-May,TDA,spillpct,%,Spill Percent,56.717
2017,25-May,TDA,spillpct,%,Spill Percent,50.668
2017,26-May,TDA,spillpct,%,Spill Percent,48.995
2017,27-May,TDA,spillpct,%,Spill Percent,52.97
2017,28-May,TDA,spillpct,%,Spill Percent,56.333
2017,29-May,TDA,spillpct,%,Spill Percent,54.425
2017,30-May,TDA,spillpct,%,Spill Percent,55.477
2017,31-May,TDA,spillpct,%,Spill Percent,53.572
2017,1-Jun,TDA,spillpct,%,Spill Percent,53.34
2016,20-Apr,BON,spillpct,%,Spill Percent,38.532
2016,21-Apr,BON,spillpct,%,Spill Percent,36.136
2016,22-Apr,BON,spillpct,%,Spill Percent,43.707
2016,23-Apr,BON,spillpct,%,Spill Percent,46.589
2016,24-Apr,BON,spillpct,%,Spill Percent,45.97
2016,25-Apr,BON,spillpct,%,Spill Percent,46.893
2016,26-Apr,BON,spillpct,%,Spill Percent,44.731
2016,27-Apr,BON,spillpct,%,Spill Percent,39.139
2016,28-Apr,BON,spillpct,%,Spill Percent,39.324
2016,29-Apr,BON,spillpct,%,Spill Percent,39.09
2016,30-Apr,BON,spillpct,%,Spill Percent,37.589
2016,1-May,BON,spillpct,%,Spill Percent,35.191
2016,2-May,BON,spillpct,%,Spill Percent,36.74
2016,3-May,BON,spillpct,%,Spill Percent,39.286
2016,4-May,BON,spillpct,%,Spill Percent,38.786
2016,5-May,BON,spillpct,%,Spill Percent,40.554
2016,6-May,BON,spillpct,%,Spill Percent,35.183
2016,7-May,BON,spillpct,%,Spill Percent,35.894
2016,8-May,BON,spillpct,%,Spill Percent,34.92
2016,9-May,BON,spillpct,%,Spill Percent,37.487
2016,10-May,BON,spillpct,%,Spill Percent,40.621
2016,11-May,BON,spillpct,%,Spill Percent,35.802
2016,12-May,BON,spillpct,%,Spill Percent,34.724
2016,13-May,BON,spillpct,%,Spill Percent,36.701
2016,14-May,BON,spillpct,%,Spill Percent,38.285
2016,15-May,BON,spillpct,%,Spill Percent,39.984
2016,16-May,BON,spillpct,%,Spill Percent,37.816
2016,17-May,BON,spillpct,%,Spill Percent,36.006
2016,18-May,BON,spillpct,%,Spill Percent,41.276
2016,19-May,BON,spillpct,%,Spill Percent,42.05
2016,20-May,BON,spillpct,%,Spill Percent,37.599
