year,mm-dd,location,parameter,unit,datatype,value
2017,20-Apr,BON,tempc,C,Temp (WQM),9.28
2017,21-Apr,BON,tempc,C,Temp (WQM),9.67
2017,22-Apr,BON,tempc,C,Temp (WQM),9.72
2017,23-Apr,BON,tempc,C,Temp (WQM),9.89
2017,24-Apr,BON,tempc,C,Temp (WQM),9.94
2017,25-Apr,BON,tempc,C,Temp (WQM),10.11
2017,26-Apr,BON,tempc,C,Temp (WQM),10.17
2017,27-Apr,BON,tempc,C,Temp (WQM),10.28
2017,28-Apr,BON,tempc,C,Temp (WQM),10.44
2017,29-Apr,BON,tempc,C,Temp (WQM),10.56
2017,30-Apr,BON,tempc,C,Temp (WQM),10.67
2017,1-May,BON,tempc,C,Temp (WQM),10.61
2017,2-May,BON,tempc,C,Temp (WQM),10.72
2017,3-May,BON,tempc,C,Temp (WQM),11.39
2017,4-May,BON,tempc,C,Temp (WQM),11.78
2017,5-May,BON,tempc,C,Temp (WQM),11.78
2017,6-May,BON,tempc,C,Temp (WQM),11.72
2017,7-May,BON,tempc,C,Temp (WQM),11.89
2017,8-May,BON,tempc,C,Temp (WQM),12.22
2017,9-May,BON,tempc,C,Temp (WQM),12.28
2017,10-May,BON,tempc,C,Temp (WQM),12.33
2017,11-May,BON,tempc,C,Temp (WQM),12.33
2017,12-May,BON,tempc,C,Temp (WQM),12.28
2017,13-May,BON,tempc,C,Temp (WQM),12.39
2017,14-May,BON,tempc,C,Temp (WQM),12.56
2017,15-May,BON,tempc,C,Temp (WQM),12.44
2017,16-May,BON,tempc,C,Temp (WQM),11.89
2017,17-May,BON,tempc,C,Temp (WQM),11.78
2017,18-May,BON,tempc,C,Temp (WQM),12.17
2017,19-May,BON,tempc,C,Temp (WQM),12.44
2017,20-May,BON,tempc,C,Temp (WQM),12.72
2017,21-May,BON,tempc,C,Temp (WQM),12.89
2017,22-May,BON,tempc,C,Temp (WQM),13.17
2017,23-May,BON,tempc,C,Temp (WQM),13.33
2017,24-May,BON,tempc,C,Temp (WQM),13.17
2017,25-May,BON,tempc,C,Temp (WQM),13.44
2017,26-May,BON,tempc,C,Temp (WQM),13.89
2017,27-May,BON,tempc,C,Temp (WQM),14.11
2017,28-May,BON,tempc,C,Temp (WQM),14.44
2017,29-May,BON,tempc,C,Temp (WQM),14.5
2017,30-May,BON,tempc,C,Temp (WQM),14.33
2017,31-May,BON,tempc,C,Temp (WQM),14.67
2017,1-Jun,BON,tempc,C,Temp (WQM),14.854
2017,20-Apr,JDA,tempc,C,Temp (WQM),7.28
2017,21-Apr,JDA,tempc,C,Temp (WQM),7.94
2017,22-Apr,JDA,tempc,C,Temp (WQM),8
2017,23-Apr,JDA,tempc,C,Temp (WQM),7.94
2017,24-Apr,JDA,tempc,C,Temp (WQM),8.39
2017,25-Apr,JDA,tempc,C,Temp (WQM),8.234
2017,26-Apr,JDA,tempc,C,Temp (WQM),10.11
2017,27-Apr,JDA,tempc,C,Temp (WQM),10.11
2017,28-Apr,JDA,tempc,C,Temp (WQM),10.22
2017,29-Apr,JDA,tempc,C,Temp (WQM),10.28
2017,30-Apr,JDA,tempc,C,Temp (WQM),10.33
2017,1-May,JDA,tempc,C,Temp (WQM),10.33
2017,2-May,JDA,tempc,C,Temp (WQM),10.78
2017,3-May,JDA,tempc,C,Temp (WQM),11.22
2017,4-May,JDA,tempc,C,Temp (WQM),11.28
2017,5-May,JDA,tempc,C,Temp (WQM),11.44
2017,6-May,JDA,tempc,C,Temp (WQM),11.67
2017,7-May,JDA,tempc,C,Temp (WQM),11.89
2017,8-May,JDA,tempc,C,Temp (WQM),11.89
2017,9-May,JDA,tempc,C,Temp (WQM),11.89
2017,10-May,JDA,tempc,C,Temp (WQM),12.17
2017,11-May,JDA,tempc,C,Temp (WQM),12.22
2017,12-May,JDA,tempc,C,Temp (WQM),12.44
2017,13-May,JDA,tempc,C,Temp (WQM),12.44
2017,14-May,JDA,tempc,C,Temp (WQM),12.22
2017,15-May,JDA,tempc,C,Temp (WQM),11.89
2017,16-May,JDA,tempc,C,Temp (WQM),11.67
2017,17-May,JDA,tempc,C,Temp (WQM),11.78
2017,18-May,JDA,tempc,C,Temp (WQM),11.89
2017,19-May,JDA,tempc,C,Temp (WQM),12.17
2017,20-May,JDA,tempc,C,Temp (WQM),12.39
2017,21-May,JDA,tempc,C,Temp (WQM),12.72
2017,22-May,JDA,tempc,C,Temp (WQM),12.89
2017,23-May,JDA,tempc,C,Temp (WQM),12.94
2017,24-May,JDA,tempc,C,Temp (WQM),13.22
2017,25-May,JDA,tempc,C,Temp (WQM),13.61
2017,26-May,JDA,tempc,C,Temp (WQM),13.78
2017,27-May,JDA,tempc,C,Temp (WQM),14.17
2017,28-May,JDA,tempc,C,Temp (WQM),14.06
2017,29-May,JDA,tempc,C,Temp (WQM),14.28
2017,30-May,JDA,tempc,C,Temp (WQM),14.56
2017,31-May,JDA,tempc,C,Temp (WQM),14.72
2017,1-Jun,JDA,tempc,C,Temp (WQM),14.7
2017,20-Apr,TDA,tempc,C,Temp (WQM),9.56
2017,21-Apr,TDA,tempc,C,Temp (WQM),9.72
2017,22-Apr,TDA,tempc,C,Temp (WQM),9.94
2017,23-Apr,TDA,tempc,C,Temp (WQM),10.11
2017,24-Apr,TDA,tempc,C,Temp (WQM),10.11
2017,25-Apr,TDA,tempc,C,Temp (WQM),10.22
2017,26-Apr,TDA,tempc,C,Temp (WQM),10.33
2017,27-Apr,TDA,tempc,C,Temp (WQM),10.33
2017,28-Apr,TDA,tempc,C,Temp (WQM),10.44
2017,29-Apr,TDA,tempc,C,Temp (WQM),10.44
2017,30-Apr,TDA,tempc,C,Temp (WQM),10.61
2017,1-May,TDA,tempc,C,Temp (WQM),10.5
2017,2-May,TDA,tempc,C,Temp (WQM),10.94
2017,3-May,TDA,tempc,C,Temp (WQM),11.39
2017,4-May,TDA,tempc,C,Temp (WQM),11.67
2017,5-May,TDA,tempc,C,Temp (WQM),11.78
2017,6-May,TDA,tempc,C,Temp (WQM),11.83
2017,7-May,TDA,tempc,C,Temp (WQM),12.11
2017,8-May,TDA,tempc,C,Temp (WQM),12.06
2017,9-May,TDA,tempc,C,Temp (WQM),12.06
2017,10-May,TDA,tempc,C,Temp (WQM),12.33
2017,11-May,TDA,tempc,C,Temp (WQM),12.22
2017,12-May,TDA,tempc,C,Temp (WQM),12.39
2017,13-May,TDA,tempc,C,Temp (WQM),12.44
2017,14-May,TDA,tempc,C,Temp (WQM),12.44
2017,15-May,TDA,tempc,C,Temp (WQM),12.06
2017,16-May,TDA,tempc,C,Temp (WQM),11.83
2017,17-May,TDA,tempc,C,Temp (WQM),12
2017,18-May,TDA,tempc,C,Temp (WQM),12.22
2017,19-May,TDA,tempc,C,Temp (WQM),12.5
2017,20-May,TDA,tempc,C,Temp (WQM),12.67
2017,21-May,TDA,tempc,C,Temp (WQM),12.83
2017,22-May,TDA,tempc,C,Temp (WQM),13.06
2017,23-May,TDA,tempc,C,Temp (WQM),13.33
2017,24-May,TDA,tempc,C,Temp (WQM),13.39
2017,25-May,TDA,tempc,C,Temp (WQM),13.5
2017,26-May,TDA,tempc,C,Temp (WQM),13.94
